type,letter,morse_code
full,a,.-
full,b,-...
full,c,-.-.
full,d,-..
full,e,.
full,f,..-.
full,g,--.
full,h,....
full,i,..
full,j,.---
full,k,-.-
full,l,.-..
full,m,--
full,n,-.
full,o,---
full,p,.--.
full,q,--.-
full,r,.-.
full,s,...
full,t,-
full,u,..-
full,v,...-
full,w,.--
full,x,-..-
full,y,-.--
full,z,--..
full,1,.----
full,2,..---
full,3,...--
full,4,....-
full,5,.....
full,6,-....
full,7,--...
full,8,---..
full,9,----.
full,0,-----
cut,1,.-
cut,2,..-
cut,3,...-
cut,4,....-
cut,5,.
cut,6,-....
cut,7,-...
cut,8,-..
cut,9,-.
cut,0,-
full, ,/
cut, ,/
